date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:28	92196/92196	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:12%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_68_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_68_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:28	111149/111149	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:28%20GMT	https://singaporegoldmart.com/home/customized_order/items/34/69	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/34/69.html	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:28	158507/158507	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:12%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_69_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_69_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:29	111151/111151	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:29%20GMT	https://singaporegoldmart.com/home/customized_order/items/34/70	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/34/70.html	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:29	205184/205184	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_70_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_70_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:30	111237/111237	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:29%20GMT	https://singaporegoldmart.com/home/customized_order/items/34/71	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/34/71.html	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:30	187501/187501	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_71_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_71_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:31	111154/111154	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:30%20GMT	https://singaporegoldmart.com/home/customized_order/items/34/72	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/34/72.html	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:31	142837/142837	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_72_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_72_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:32	111232/111232	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:31%20GMT	https://singaporegoldmart.com/home/customized_order/items/34/73	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/34/73.html	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:32	169634/169634	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_73_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_73_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:33	111155/111155	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:32%20GMT	https://singaporegoldmart.com/home/customized_order/items/34/74	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/34/74.html	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:33	230112/230112	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_74_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_74_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/34)
15:45:33	111152/111152	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:32%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/63	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/63.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:34	152921/152921	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:12%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_63_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_63_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:34	111154/111154	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:33%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/64	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/64.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:35	111242/111242	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:34%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/75	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/75.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:35	111245/111245	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:35%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/76	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/76.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:35	240446/240446	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_75_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_75_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:36	463397/463397	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_64_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_64_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:36	111153/111153	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:36%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/77	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/77.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:36	226909/226909	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_76_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_76_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:36	206707/206707	---M--	200	added ('OK')	image/jpeg	date:Sun,%2018%20Oct%202020%2009:16:13%20GMT	https://singaporegoldmart.com/uploads/cust_product_image/cust_product_77_1.jpg	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/uploads/cust_product_image/cust_product_77_1.jpg	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:37	111246/111246	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:36%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/78	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/78.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
15:45:38	111155/111155	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Mar%202024%2010:15:37%20GMT	https://singaporegoldmart.com/home/customized_order/items/35/79	D:/HTML%20Mirror%20templetes/singapore%20mart/singaporegoldmart.com/home/customized_order/items/35/79.html	(from https://singaporegoldmart.com/home/customized_order/category/35)
